algorithm,graph,timeout,interrupted,seed,k,epsilon,imbalance,totalPartitionTime,objective,km1,cut,failed
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,2,8,0.03,0.0272471,3.47556,km1,2577,2525,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,3,8,0.03,0.0290241,3.14705,km1,2574,2519,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,4,8,0.03,0.02162,3.07332,km1,2579,2527,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,5,8,0.03,0.0176218,3.80655,km1,2538,2486,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,6,8,0.03,0.023397,3.62682,km1,2536,2478,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,7,8,0.03,0.0291722,3.55103,km1,2532,2480,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,8,8,0.03,0.0260625,3.49235,km1,2587,2532,no
kKaHyPar,2D_54019_highK.mtx.hgr,no,no,9,8,0.03,0.0171776,3.28847,km1,2572,2517,no
kKaHyPar,3Dspectralwave2.mtx.hgr,no,no,0,128,0.03,0.0297984,384.551,km1,191898,149988,no
kKaHyPar,3Dspectralwave2.mtx.hgr,no,no,1,128,0.03,0.0297984,386.288,km1,192492,150061,no
kKaHyPar,3Dspectralwave2.mtx.hgr,no,no,2,128,0.03,0.0297984,393.239,km1,190914,149228,no
kKaHyPar,3Dspectralwave2.mtx.hgr,no,no,3,128,0.03,0.0297984,392.46,km1,190160,148181,no
kKaHyPar,3Dspectralwave2.mtx.hgr,no,no,4,128,0.03,0.0297984,387.418,km1,193076,150612,no
kKaHyPar,3Dspectralwave2.mtx.hgr,no,no,5,128,0.03,0.0297984,394.589,km1,193252,150839,no
kKaHyPar,3Dspectralwave2.mtx.hgr,no,no,6,128,0.03,0.0297984,394.102,km1,190831,148738,no
kKaHyPar,3Dspectralwave2.mtx.hgr,no,no,7,128,0.03,0.0297984,400.953,km1,193026,150670,no
kKaHyPar,3Dspectralwave2.mtx.hgr,no,no,8,128,0.03,0.0297984,391.332,km1,190696,148838,no
kKaHyPar,3Dspectralwave2.mtx.hgr,no,no,9,128,0.03,0.0297984,395.023,km1,192441,150142,no
kKaHyPar,3Dspectralwave2.mtx.hgr,no,no,0,16,0.03,0.0298066,226.953,km1,65627,60672,no
kKaHyPar,3Dspectralwave2.mtx.hgr,no,no,1,16,0.03,0.029697,207.509,km1,65047,59975,no
kKaHyPar,3Dspectralwave2.mtx.hgr,no,no,2,16,0.03,0.029971,213.484,km1,65627,60642,no
